,equipmentId,year_fit,year_og,year_diff,n,s_fit,pf_fit,ambient_bias_fit,heatRunTest_deltaTopOil_fit,heatRunTest_deltaHotspot_fit,heatRunTest_x_fit,heatRunTest_y_fit,heatRunTest_h_fit,heatRunTest_copperLosses_fit,heatRunTest_noLoadLosses_fit,nominalLoad_fit,MAE_fit,RMSE_fit,Bias_fit,R2_fit,s_og,pf_og,ambient_bias_og,heatRunTest_deltaTopOil_og,heatRunTest_deltaHotspot_og,heatRunTest_x_og,heatRunTest_y_og,heatRunTest_h_og,heatRunTest_copperLosses_og,heatRunTest_noLoadLosses_og,nominalLoad_og,MAE_og,RMSE_og,Bias_og,R2_og,error,s_diff,pf_diff,ambient_bias_diff,heatRunTest_deltaTopOil_diff,heatRunTest_deltaHotspot_diff,heatRunTest_x_diff,heatRunTest_y_diff,heatRunTest_h_diff,heatRunTest_copperLosses_diff,heatRunTest_noLoadLosses_diff,nominalLoad_diff,MAE_diff,RMSE_diff,Bias_diff,R2_diff
0,24917,2024.0,1997.0,27.0,14664.0,1.4092740719551288e-20,1.0,0.0,54.8,72.0,0.73,1.4,1.3,200.4,15.6,40.0,4.737508713336393,5.781922544447535,-1.5732982551534136,0.07726283982702198,0.0,1.0,0.0,54.8,72.0,0.73,1.4,1.3,200.4,15.6,40.0,4.737508713336393,5.781922544447535,-1.5732982551534136,0.07726283982702198,,1.4092740719551288e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,33291,2024.0,1998.0,26.0,14664.0,3.778599812233444e-21,1.0,0.0,47.9,65.4,0.74,1.43,1.3,244.3,19.97,50.0,6.079759353714199,6.772061434641364,-6.000365133537553,-0.6889808051820201,0.0,1.0,0.0,47.9,65.4,0.74,1.43,1.3,244.3,19.97,50.0,6.079759353714199,6.772061434641364,-6.000365133537553,-0.6889808051820201,,3.778599812233444e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5004597,2024.0,2001.0,23.0,14664.0,2.6575930138742167e-20,1.0,0.0,48.9,65.7,0.62,1.98,1.3,216.05,16.15,40.0,2.870896387484958,4.253589330448526,-1.8763935344814813,0.5172591594532627,0.0,1.0,0.0,48.9,65.7,0.62,1.98,1.3,216.05,16.15,40.0,2.870896387484958,4.253589330448526,-1.8763935344814813,0.5172591594532627,,2.6575930138742167e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5004625,2024.0,2001.0,23.0,14664.0,2.4619544592477688e-20,1.0,0.0,48.9,65.7,0.62,1.98,1.3,223.28,16.02,40.0,3.081849102951487,4.448062809240475,-1.9279424062463928,0.5196633982197425,0.0,1.0,0.0,48.9,65.7,0.62,1.98,1.3,223.28,16.02,40.0,3.081849102951487,4.448062809240475,-1.9279424062463928,0.5196633982197425,,2.4619544592477688e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5017843,2024.0,2005.0,19.0,14664.0,3.537075998065031e-21,1.0,0.0,45.4,60.8,0.9,1.6,1.35,157.09,11.15,25.0,5.3513484069639485,5.765622152884834,-5.330528353407116,0.12233392464844728,0.0,1.0,0.0,45.4,60.8,0.9,1.6,1.35,157.09,11.15,25.0,5.3513484069639485,5.765622152884834,-5.330528353407116,0.12233392464844728,,3.537075998065031e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5017873,2024.0,2004.0,20.0,14664.0,3.0893644915207047e-21,1.0,0.0,45.4,60.8,0.9,1.6,1.35,157.09,11.15,25.0,5.711494203676934,6.2758684303035785,-5.661650577371349,-0.5155329928818477,0.0,1.0,0.0,45.4,60.8,0.9,1.6,1.35,157.09,11.15,25.0,5.711494203676934,6.2758684303035785,-5.661650577371349,-0.5155329928818477,,3.0893644915207047e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5025312,2024.0,2007.0,17.0,14664.0,8.509400831789063e-21,1.0,0.0,51.9,67.7,0.66,1.34,1.1,106.3,12.27,25.0,4.933581171232843,5.728841133143322,-4.843098085340972,-0.027694073281786302,0.0,1.0,0.0,51.9,67.7,0.66,1.34,1.1,106.3,12.27,25.0,4.933581171232843,5.728841133143322,-4.843098085340972,-0.027694073281786302,,8.509400831789063e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5026188,2024.0,2006.0,18.0,14664.0,3.091031777442882e-21,1.0,0.0,49.4,71.9,0.79,1.39,1.3,271.8,18.15,50.0,6.175639064701247,6.8396954455900865,-6.080098792155109,-0.9743970927366776,0.0,1.0,0.0,49.4,71.9,0.79,1.39,1.3,271.8,18.15,50.0,6.175639064701247,6.8396954455900865,-6.080098792155109,-0.9743970927366776,,3.091031777442882e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5027447,2024.0,2007.0,17.0,14664.0,6.829280685420223e-22,1.0,0.0,46.7,63.0,0.9,1.6,1.09,236.62,17.18,50.0,13.087093426811434,14.35594535778994,-12.82365222598761,-2.556022648200472,0.0,1.0,0.0,46.7,63.0,0.9,1.6,1.09,236.62,17.18,50.0,13.087093426811434,14.35594535778994,-12.82365222598761,-2.556022648200472,,6.829280685420223e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5030256,2024.0,2007.0,17.0,14664.0,9.660564825824383e-22,1.0,0.0,51.9,67.7,0.66,1.34,1.1,106.3,12.27,25.0,12.441483987553202,13.941920699829632,-12.32449951001153,-3.202762101374492,0.0,1.0,0.0,51.9,67.7,0.66,1.34,1.1,106.3,12.27,25.0,12.441483987553202,13.941920699829632,-12.32449951001153,-3.202762101374492,,9.660564825824383e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
